,Date,PMI,NMI,Consumer_sen,building_permits,Unemployment,Non_Farm,Initial_Claims,Continuing_Claims,SnP500,VIX,Net_Export,int_spread,Real_GDP
233,2006-09-30,52.96666666666667,54.666666666666664,84.03333333333333,1713.3333333333333,7037.666666666667,136685.66666666666,316571.4285714286,2453071.4285714286,1288.3173015873015,13.607936507936504,-805.63,-0.35000000000000003,15326.368
234,2006-12-31,51.03333333333333,56.13333333333333,92.46666666666665,1581.0,6787.0,137054.66666666666,322076.92307692306,2468846.153846154,1388.6353968253966,11.034920634920635,-720.325,-0.6166666666666667,15456.928
235,2007-03-31,50.70000000000001,53.93333333333334,92.2,1606.6666666666667,6924.666666666667,137609.33333333334,315923.07692307694,2536076.923076923,1424.3813114754096,12.563606557377048,-724.314,-0.5766666666666667,15493.328
236,2007-06-30,52.56666666666666,54.26666666666667,86.89999999999999,1456.6666666666667,6865.0,137968.0,313384.6153846154,2475769.230769231,1497.1761904761909,13.731904761904756,-731.908,-0.4033333333333333,15582.085
237,2007-09-30,51.43333333333334,52.96666666666667,85.73333333333335,1314.3333333333333,7128.666666666667,138049.33333333334,315384.6153846154,2543615.3846153845,1489.463492063492,21.589206349206346,-713.796,-0.3433333333333333,15666.738
238,2007-12-31,50.199999999999996,53.300000000000004,77.5,1188.3333333333333,7374.0,138283.33333333334,338307.6923076923,2636461.5384615385,1495.7454687499996,22.02984375,-703.687,-0.2366666666666667,15761.967
239,2008-03-31,48.73333333333333,48.1,72.89999999999999,1025.0,7668.0,138334.0,350692.3076923077,2856615.3846153845,1350.661475409836,26.120163934426223,-756.179,0.48666666666666664,15671.383
240,2008-06-30,49.133333333333326,50.5,59.6,1061.0,8202.333333333334,137860.0,369615.3846153846,3011923.076923077,1371.6274999999994,20.672968750000003,-758.947,1.8,15752.308
241,2008-09-30,48.0,50.0,64.83333333333333,858.6666666666666,9289.666666666666,137152.33333333334,431769.23076923075,3360153.846153846,1252.0246875,25.073281250000004,-771.564,1.9233333333333331,15667.032
242,2008-12-31,36.166666666666664,40.76666666666667,57.666666666666664,638.6666666666666,10632.666666666666,135552.0,519692.3076923077,4115076.923076923,911.9773437499998,58.59593750000001,-605.663,2.7466666666666666,15328.027
243,2009-03-31,35.46666666666667,41.53333333333333,58.26666666666667,538.6666666666666,12794.0,133293.0,621000.0,5273615.384615385,807.6659016393443,44.99999999999999,-396.112,2.5533333333333332,15155.94
244,2009-06-30,42.333333333333336,44.79999999999999,68.2,559.3333333333334,14353.0,131433.33333333334,612615.3846153846,6423307.692307692,892.6014285714288,33.01571428571428,-338.611,3.133333333333333,15134.117
245,2009-09-30,52.6,48.86666666666667,68.39999999999999,606.6666666666666,14808.0,130465.66666666667,557846.1538461539,6056461.538461538,995.7482812500003,25.48625,-405.497,3.36,15189.222
246,2009-12-31,55.23333333333333,50.03333333333333,70.16666666666667,623.3333333333334,15223.0,129963.33333333333,503461.53846153844,5479769.230769231,1088.7232812500001,23.070156250000004,-445.584,3.34,15356.058
247,2010-03-31,57.26666666666667,51.20000000000001,73.86666666666666,657.6666666666666,15120.333333333334,129789.0,478692.3076923077,4792076.923076923,1123.5936065573767,20.14967213114754,-489.179,3.5833333333333335,15415.145
248,2010-06-30,57.6,55.23333333333333,73.93333333333334,599.6666666666666,14882.666666666666,130423.66666666667,462692.3076923077,4663000.0,1134.5844444444444,26.391428571428573,-519.127,3.296666666666667,15557.277
249,2010-09-30,56.9,53.699999999999996,68.3,574.0,14579.666666666666,130402.0,462307.6923076923,4489153.846153846,1096.246875,24.283593749999998,-535.095,2.6,15671.967
250,2010-12-31,57.6,56.333333333333336,71.26666666666667,583.3333333333334,14648.333333333334,130732.33333333333,432307.6923076923,4230692.307692308,1204.585625,19.3184375,-512.21,2.6766666666666663,15750.625
251,2011-03-31,59.13333333333333,56.5,73.06666666666666,567.0,13856.666666666666,131060.66666666667,412615.3846153846,3850076.923076923,1302.5290322580647,18.61483870967743,-561.474,3.3033333333333332,15712.754
252,2011-06-30,56.4,54.833333333333336,71.86666666666666,611.6666666666666,13924.666666666666,131748.0,420461.53846153844,3762769.230769231,1318.3328571428574,17.482380952380954,-581.865,3.1166666666666667,15825.096
253,2011-09-30,52.9,53.53333333333334,59.666666666666664,626.0,13843.0,132160.66666666666,413230.76923076925,3726384.6153846155,1225.2684374999992,30.583593749999995,-573.85,2.3433333333333337,15820.7
254,2011-12-31,52.333333333333336,52.9,64.8,691.3333333333334,13329.666666666666,132717.33333333334,389571.4285714286,3641785.714285714,1225.6512698412703,29.939523809523823,-600.657,1.9733333333333334,16004.107
255,2012-03-31,52.73333333333333,55.199999999999996,75.5,752.0,12774.333333333334,133504.66666666666,369000.0,3385846.153846154,1348.7837096774192,18.204032258064515,-615.102,1.9333333333333333,16129.418
256,2012-06-30,52.63333333333333,54.06666666666666,76.3,774.0,12666.0,133925.0,378230.76923076925,3325076.923076923,1349.6785714285713,20.035714285714285,-580.505,1.67,16198.807
257,2012-09-30,51.300000000000004,54.0,74.96666666666665,873.0,12414.0,134336.0,376307.6923076923,3309230.769230769,1400.9457142857148,16.192698412698412,-540.838,1.5,16220.667
258,2012-12-31,50.36666666666667,55.1,79.4,915.0,12142.333333333334,134860.66666666666,374923.07692307694,3258538.4615384615,1418.1390322580642,16.752903225806453,-537.839,1.5466666666666669,16239.138
259,2013-03-31,52.300000000000004,54.73333333333333,76.66666666666666,952.0,12036.666666666666,135494.66666666666,352538.46153846156,3073461.5384615385,1513.98,13.526999999999997,-516.863,1.8066666666666666,16382.964
260,2013-06-30,50.833333333333336,53.73333333333333,81.66666666666667,985.6666666666666,11721.666666666666,136079.33333333334,346384.6153846154,3013769.230769231,1609.4912499999994,14.83703125,-508.931,1.8800000000000001,16403.18
261,2013-09-30,55.73333333333333,56.1,81.56666666666666,988.3333333333334,11294.666666666666,136609.66666666666,331307.6923076923,2948923.076923077,1674.9435937500007,14.2796875,-496.282,2.626666666666667,16531.685
262,2013-12-31,56.699999999999996,54.06666666666666,76.93333333333334,1026.0,10775.666666666666,137239.0,343000.0,2877230.769230769,1768.6673437499999,14.232812499999994,-441.051,2.66,16663.649
263,2014-03-31,53.333333333333336,52.9,80.93333333333334,1027.3333333333333,10310.333333333334,137743.33333333334,327153.8461538461,2830615.3846153845,1834.871147540983,14.828852459016396,-506.318,2.69,16616.54
264,2014-06-30,55.53333333333334,55.833333333333336,82.83333333333333,1039.3333333333333,9673.666666666666,138547.0,316461.53846153844,2659692.3076923075,1900.3726984126988,12.73825396825397,-507.643,2.53,16841.475
265,2014-09-30,56.86666666666667,58.96666666666667,82.96666666666667,1066.6666666666667,9489.666666666666,139297.33333333334,299769.23076923075,2496076.923076923,1975.9081249999995,13.074374999999998,-492.266,2.4066666666666667,17047.098
266,2014-12-31,56.86666666666667,57.53333333333334,89.76666666666665,1074.3333333333333,8932.333333333334,140101.33333333334,288538.46153846156,2404384.6153846155,2009.3443750000004,16.063750000000002,-524.406,2.18,17143.038
267,2015-03-31,52.63333333333333,56.699999999999996,95.5,1084.3333333333333,8666.333333333334,140772.33333333334,290692.3076923077,2339692.3076923075,2063.6898360655737,16.564754098360655,-532.532,1.8566666666666667,17277.58
268,2015-06-30,52.6,56.5,94.23333333333335,1271.3333333333333,8543.666666666666,141472.66666666666,277615.3846153846,2271000.0,2101.8290476190477,13.740158730158734,-499.257,2.0433333333333334,17405.669
269,2015-09-30,51.333333333333336,58.73333333333333,90.73333333333333,1149.0,8022.0,142136.0,274230.76923076925,2247769.230769231,2027.1999999999998,19.307343750000005,-532.977,2.0833333333333335,17463.222
270,2015-12-31,48.6,56.76666666666667,91.3,1204.0,7943.0,142836.0,268692.3076923077,2206692.3076923075,2052.311875,17.033281250000005,-514.613,2.03,17468.902
271,2016-03-31,49.866666666666674,54.23333333333333,91.56666666666666,1157.3333333333333,7804.0,143421.66666666666,271000.0,2187692.3076923075,1951.2249180327872,20.486229508196722,-522.196,1.5599999999999998,17556.839
272,2016-06-30,51.5,55.13333333333333,92.39999999999999,1185.6666666666667,7809.666666666667,143966.0,268307.6923076923,2162692.3076923075,2075.13140625,15.675937500000002,-495.339,1.38,17639.417
273,2016-09-30,51.133333333333326,54.4,90.33333333333333,1226.0,7811.333333333333,144691.66666666666,259230.76923076922,2134769.230769231,2162.0568749999993,13.233906249999997,-499.734,1.1666666666666667,17735.074
